Notice: Tableau 1
Ce tableur comprend les annexes au rapport méthodologique sur les produits alimentaires  AGRIBALYSE. ;;;;
;;;;
www.agribalyse.fr;;;;
;;;;
La base de données est propriétée de l'ADEME, elle est pilotée au sein du GIS Revalim.;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Sommaire : ;;Summary :;;
1;Mix de consommation de matières premières – origine des produits;Raw material consumption mix – origin of raw mareial;;
2;Mix de consommation des matière premières pour les aliments les plus emblématiques consommés en France, source de données et années;Consumption mixes of raw materials for the most emblematic foods consumed in France, data source and years;;
3;Parts non comestibles – matière première végétale et oeufs;Inedible parts – vegetable, fruits, nuts and eggs;;
4;Poissons et crustacés : proxy utilisés et parts non comestibles;Fish and shellfish: proxies used and inedible parts;;
5;Poissons et crustacés : jeux de données exclus et  jeux de données ajouté dans AGRIBALYSE 3.0;Fish and shellfish: datasets excluded and datasets added in AGRIBALYSE 3.0;;
6;Densités utilisées;Densities used;;
7;Calcul des volumes d’eau évaporés par le processus de séchage ;Calculation of water volumes evaporated by the drying process ;;
8;Rendements utilisés pour les fromages;Yields used for cheeses;;
9;Recettes utilisées pour les produits CIQUAL : sources;Recipes used for CIQUAL products: sources;;
10;Produits CIQUAL approchés par d'autres recettes / produits CIQUAL;CIQUAL products approached by other CIQUAL recipes / products;;
11;Produits CIQUAL non présents dans Agribalyse;CIQUAL products not present in Agribalyse;;
12;Liste des dummy (données vides);List of dummy (empty data);;

1. Consumption mix: Tableau 1
Mix de consommation de matières premières – origine des produits;;;;;;
;;;;;;
Input/Output;Name of consumption mix;Name of input/output;Quantity;Unit;Comment on proxys / origins;
Output;Abondance cheese, from cow's milk, consumption mix {FR} U;Abondance cheese, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Abondance cheese, from cow's milk, consumption mix {FR} U;Abondance cheese production, from cow's milk, hard cheese, French production mix, at plant, 1 kg of Abondance cheese (PGi) {FR} U;1,0;kg;;
Output;Agave tequilana, consumption mix {MX} U;Agave tequilana, consumption mix {MX} U;1,3;kg;;
Input;Agave tequilana, consumption mix {MX} U;Agave tequilana, at farm {MX} U;1,3;kg;For 1 kg of agave juice : include 1kg of juice (water + sugar content of agave) and 0,19 kg of fibers. (Yan, X. et al. (2011)) Assumption 5% loss;
Output;Alaska pollock, consumption mix {FR} U;Alaska pollock, consumption mix {FR} U;1,0;kg;;
Input;Alaska pollock, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Alaska pollock, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Alaska pollock, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,4;kg;;
Output;Albacore tuna, in oil, canned, consumption mix {FR} U;Albacore tuna, in oil, canned, consumption mix {FR} U;1,0;kg;;
Input;Albacore tuna, in oil, canned, consumption mix {FR} U;Albacore tuna, main product, NEA, Pelagic Trawl, land frozen {FR};0,4;kg;;
Input;Albacore tuna, in oil, canned, consumption mix {FR} U;Albacore tuna, main product, NEA, Pelagic trawl, on-board frozen, at landing {FR} U;0,4;kg;;
Input;Albacore tuna, in oil, canned, consumption mix {FR} U;Albacore tuna, main product, NEA, Pelagic trawl, fresh, at landing {FR};0,3;kg;;
Output;Albacore, consumption mix {FR} U;Albacore, consumption mix {FR} U;1,0;kg;;
Input;Albacore, consumption mix {FR} U;Albacore, Thunnus alalunga, NEA, Pelagic trawl, average, at landing {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Albacore, consumption mix {FR} U;Albacore, Thunnus alalunga, NEA, Pelagic trawl, average, at landing {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Albacore, consumption mix {FR} U;Albacore, Thunnus alalunga, NEA, Pelagic trawl, average, at landing {FR} U;0,4;kg;;
Output;Alfalfa seeds, consumption mix {FR} U;Alfalfa seeds, consumption mix {FR} U;1,0;kg;;
Input;Alfalfa seeds, consumption mix {FR} U;Linseed {RoW}| linseed production | Cut-off, U - Adapted from Ecoinvent U;1,0;kg;;
Output;Almond, consumption mix {FR} U;Almond, consumption mix {FR} U;1,0;kg;;
Input;Almond, consumption mix {FR} U;Almonds, in shell, at farm {CN} - Adapted from WFLDB U;0,1;kg;CN used as a substitute for DE;
